syllable,syllable_duration,word,word_begin,word_end,word_num_syllables,word_stress_pattern,utterance_speech_rate,speaker,file
F.EY1,0.2400000000000002,faces,3.69,4.26,2,1-0,4.210526315789475,1089,1089-134691-0011
N.EY1.M.Z,0.4900000000000002,names,2.63,3.12,1,1,3.296703296703296,1089,1089-134691-0011
B.IY1,0.3200000000000003,be,10.44,10.76,1,1,4.602510460251047,1089,1089-134691-0011
B.IH1.N,0.39000000000000057,been,14.54,14.93,1,1,4.43864229765013,1089,1089-134691-0011
K.L.OW1.DH.Z,0.6200000000000001,clothes,4.87,5.49,1,1,3.03030303030303,1089,1089-134691-0011
B.IY1,0.3999999999999999,be,1.5,1.9,1,1,4.347826086956522,1089,1089-134691-0011
Y.UW1,0.31999999999999984,you,3.1,3.42,1,1,4.040404040404041,1089,1089-134686-0004
HH.AH1.Z,0.27999999999999936,husband,4.48,5.11,2,1-0,4.0,1089,1089-134686-0004
T.EH1.N,0.6,ten,0.65,1.25,1,1,2.830188679245283,1089,1089-134686-0004
B.IY1,0.3600000000000001,be,1.76,2.12,1,1,4.4692737430167595,1089,1089-134686-0014
W.EY1,0.18999999999999995,waiting,2.61,3.04,2,1-0,4.7272727272727275,1089,1089-134691-0001
L.AO1.NG,0.27000000000000046,longer,4.42,4.92,2,1-0,4.861111111111112,1089,1089-134691-0001
K.AA1.N,0.25,consecrated,5.28,6.09,4,1-0-2-0,5.080213903743315,1089,1089-134686-0024
V.IH1,0.1399999999999999,vinegar,1.56,2.07,3,1-0-0,5.000000000000001,1089,1089-134686-0024
M.AE1.N,0.5299999999999994,man,10.67,11.2,1,1,3.5416666666666674,1089,1089-134686-0024
P.L.AH1.N,0.3099999999999996,plunges,4.7,5.33,2,1-0,4.129793510324483,1089,1089-134691-0021
HH.AO1.R,0.1999999999999993,horseplay,10.06,10.66,2,1-2,4.444444444444445,1089,1089-134691-0021
S.T.OW1.N,0.56,stone,1.13,1.69,1,1,3.361344537815126,1089,1089-134691-0021
L.AH1,0.15999999999999837,lustre,12.46,13.0,2,1-0,3.015075376884422,1089,1089-134691-0021
AA1.N,0.33000000000000007,on,5.08,5.41,1,1,3.2786885245901636,1089,1089-134686-0034
DH.EH1.N,0.3700000000000001,then,1.73,2.1,1,1,3.773584905660377,1089,1089-134686-0034
B.R.IH1.JH,0.40999999999999925,bridge,7.87,8.28,1,1,4.294478527607362,1089,1089-134691-0009
HH.AE1.T.S,0.41999999999999993,hats,12.49,12.91,1,1,4.156479217603912,1089,1089-134691-0009
K.L.OW1.Z,0.6999999999999993,clothes,17.19,17.89,1,1,3.614457831325301,1089,1089-134691-0009
HH.IH1,0.129999999999999,hickey,19.18,19.57,2,1-0,6.1538461538461675,1089,1089-134691-0009
K.AA1,0.2400000000000002,collars,14.59,15.19,2,1-0,3.8461538461538454,1089,1089-134691-0009
N.AY1.T,0.4500000000000002,knight,7.09,7.54,1,1,4.36241610738255,1089,1089-134686-0013
K.AO1,0.27,calling,2.29,2.8,2,1-0,4.347826086956522,1089,1089-134691-0019
M.AY1.N.D,0.52,mind,1.98,2.5,1,1,4.784688995215311,1089,1089-134686-0003
S.K.AY1,0.52,sky,2.45,2.97,1,1,5.263157894736842,1089,1089-134691-0016
AY1.R,0.3200000000000003,ireland,6.75,7.29,2,1-0,4.678362573099415,1089,1089-134691-0016
M.AA1.R.CH,0.46999999999999975,march,4.83,5.3,1,1,3.9800995024875627,1089,1089-134691-0016
B.AW1.N.D,0.5,bound,7.99,8.49,1,1,2.8846153846153846,1089,1089-134691-0016
S.EY1.N.T,0.47,saint,0.72,1.19,1,1,3.370786516853933,1089,1089-134686-0033
W.AY1.N,0.41000000000000014,wine,5.17,5.58,1,1,4.816955684007707,1089,1089-134686-0023
B.L.AH1.D,0.40000000000000036,blood,8.26,8.66,1,1,3.985507246376812,1089,1089-134686-0023
S.IH1,0.2999999999999998,city,6.95,7.5,2,1-0,3.993055555555556,1089,1089-134691-0025
IH0.T,0.19000000000000128,it,14.37,14.56,1,1,5.070422535211266,1089,1089-134686-0020
F.AO1.R,0.17999999999999972,fortune,16.04,16.54,2,1-0,3.389830508474577,1089,1089-134686-0020
B.AE1.K,0.3800000000000008,back,8.26,8.64,1,1,3.862660944206007,1089,1089-134686-0020
OW1.N,0.16999999999999993,only,10.38,10.75,2,1-0,4.761904761904763,1089,1089-134686-0020
F.AO1.R,0.20999999999999996,fortune,5.54,5.98,2,1-0,4.1516245487364625,1089,1089-134686-0020
AA1.R.M.Z,0.6299999999999999,arms,4.58,5.21,1,1,3.773584905660378,1089,1089-134691-0005
S.T.IH1.K,0.4700000000000002,stick,3.78,4.25,1,1,4.27807486631016,1089,1089-134686-0010
S.AO1.S,0.5700000000000003,sauce,9.56,10.13,1,1,3.8410596026490063,1089,1089-134686-0000
D.IH1,0.11999999999999988,dinner,1.99,2.36,2,1-0,4.838709677419355,1089,1089-134686-0000
W.ER1.D.Z,0.6900000000000001,words,0.39,1.08,1,1,1.4492753623188404,1089,1089-134691-0015
S.EH1.D,0.2999999999999998,said,2.18,2.48,1,1,4.054054054054054,1089,1089-134686-0027
