discourse,speaker,gender,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end,utterance_begin,utterance_end,measurement,original_rate,downsampled_to,spectral_peak_full,spectral_cog,F_M
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.12,0.35,0.47,1,ə,a,s.a.m,0.35,0.65,samedi,s.a.m.d.i,0.35,1.07,0.05,0.05,0.5,44100,22050,10009.7276264591,8233.29516158367,7693.1906614786
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.22,5.63,5.85,2,o,i,s.i,5.63,6.11,aussi,o.s.i,5.52,6.11,3.59,3.59,0.5,44100,22050,8779.96108949416,7826.69503232094,6921.01167315175
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0899999999999999,14.49,14.58,1,i,a,s.a,14.49,14.66,s'adresse,s.a.d.ʁ.ɛ.s,14.49,14.97,14.34,14.34,0.5,44100,22050,8894.3579766537,6836.5595020134,7836.18677042802
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0999999999999996,15.18,15.28,3,ɑ̃,ɑ̃,s.ɑ̃.b.l,15.18,15.45,l'ensemble,l.ɑ̃.s.ɑ̃.b.l,15.03,15.45,14.34,14.34,0.5,44100,22050,7435.79766536965,6875.84921264609,7435.79766536965
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0800000000000018,17.34,17.42,1,ə,ə,s.ə,17.34,17.48,semaine,s.ə.m.ɛ.n,17.34,17.72,16.96,16.96,0.5,44100,22050,6120.23346303502,6563.99099546805,6120.23346303502
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.109999999999999,18.2,18.31,1,a,y,s.y.ʁ,18.2,18.44,surprise,s.y.ʁ.p.ʁ.i.z,18.2,19.12,16.96,16.96,0.5,44100,22050,5634.046692607,5915.34554723274,5634.046692607
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.120000000000001,20.79,20.91,2,o,i,s.i,20.79,20.95,aussi,o.s.i,20.72,20.95,20.58,20.58,0.5,44100,22050,5605.44747081712,6480.75612133754,5605.44747081712
14401_f1_int2_2022_03_29_assnat_174837,14401,female,ʃ,0.129999999999999,25.66,25.79,1,n,a,ʃ.a.ʁ.ʒ,25.66,26.11,charge,ʃ.a.ʁ.ʒ,25.66,26.11,25.26,25.26,0.5,44100,22050,3517.70428015564,4252.05856400497,3517.70428015564
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0999999999999979,30.12,30.22,1,ə,ɛ̃,s.ɛ̃.k,30.12,30.35,cinq,s.ɛ̃.k,30.12,30.35,29.23,29.23,0.5,44100,22050,7121.20622568093,6852.64679466213,7121.20622568093
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0799999999999983,30.35,30.43,1,k,ɑ̃,s.ɑ̃,30.35,30.5,cent,s.ɑ̃,30.35,30.5,29.23,29.23,0.5,44100,22050,7864.7859922179,6793.99628772914,7864.7859922179
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.140000000000001,36.97,37.11,3,a,y,s.y,36.97,37.16,rassurer,ʁ.a.s.y.ʁ.e,36.84,37.4,36.39,36.39,0.5,44100,22050,5004.86381322957,5591.16498864223,5004.86381322957
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.109999999999999,40.75,40.86,1,ø,y,s.y.ʁ,40.75,41,surtout,s.y.ʁ.t.u,40.75,41.12,40.54,40.54,0.5,44100,22050,3975.29182879377,4991.62408130061,3975.29182879377
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.140000000000001,41.29,41.43,3,a,y,s.y,41.29,41.47,s'assurer,s.a.s.y.ʁ.e,41.12,41.77,40.54,40.54,0.5,44100,22050,4690.27237354086,5006.24172120583,4690.27237354086
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0800000000000054,41.12,41.2,1,u,a,s.a,41.12,41.29,s'assurer,s.a.s.y.ʁ.e,41.12,41.77,40.54,40.54,0.5,44100,22050,5433.85214007782,6096.71348196968,5433.85214007782
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.159999999999997,45.49,45.65,1,ɛ,y,s.y.ʁ,45.49,45.77,surprise,s.y.ʁ.p.ʁ.i.z,45.49,46.32,44.44,44.44,0.5,44100,22050,5319.45525291829,6027.79550953663,5319.45525291829
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.159999999999997,50.78,50.94,3,ɛ̃,ɛ,s.ɛ.ʁ,50.78,51.08,sincèrement,s.ɛ̃.s.ɛ.ʁ.m.ɑ̃,50.56,51.35,50.3,50.3,0.5,44100,22050,9094.55252918288,7377.5732847489,7492.99610894942
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.119999999999997,50.56,50.68,1,s,ɛ̃,s.ɛ̃,50.56,50.78,sincèrement,s.ɛ̃.s.ɛ.ʁ.m.ɑ̃,50.56,51.35,50.3,50.3,0.5,44100,22050,8350.97276264592,7698.59319083242,7950.58365758755
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.199999999999996,53.56,53.76,1,<SIL>,ɑ̃,s.ɑ̃,53.56,53.85,cent,s.ɑ̃,53.56,53.85,52.01,52.01,0.5,44100,22050,5548.24902723735,6433.76731214678,5548.24902723735
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.140000000000001,54.88,55.02,1,<SIL>,ə,s.ə,54.88,55.09,se,s.ə,54.88,55.09,54.88,54.88,0.5,44100,22050,5433.85214007782,5298.57889227603,5433.85214007782
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.199999999999996,61.96,62.16,1,ɔ̃,y,s.y.ʁ,61.96,62.23,sur,s.y.ʁ,61.96,62.23,60.57,60.57,0.5,44100,22050,4690.27237354086,5548.6777339521,4690.27237354086
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.130000000000003,62.23,62.36,1,ʁ,ɛ,s.ɛ.t,62.23,62.44,cette,s.ɛ.t,62.23,62.44,60.57,60.57,0.5,44100,22050,5948.63813229572,6151.18193070202,5948.63813229572
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0700000000000074,67.85,67.92,1,d,y,s.y.ʁ,67.85,67.99,surprise,s.y.ʁ.p.ʁ.i.z,67.85,68.41,67.43,67.43,0.5,44100,22050,4633.07392996109,5400.05534996961,4633.07392996109
14401_f1_int2_2022_03_29_assnat_174837,14401,female,ʃ,0.149999999999991,69.59,69.74,1,a,o,ʃ.o.z,69.59,69.86,chose,ʃ.o.z,69.59,69.86,67.43,67.43,0.5,44100,22050,3603.50194552529,3654.50971330202,3603.50194552529
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.140000000000001,71.64,71.78,4,ʁ,ɔ,s.ɔ.n,71.64,71.99,personne,p.ɛ.ʁ.s.ɔ.n,71.48,71.99,71.2,71.2,0.5,44100,22050,5205.05836575875,6635.33260046345,5205.05836575875
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.149999999999991,73.29,73.44,4,a,ɑ̃,s.ɑ̃.t,73.29,73.63,soixante,s.w.a.s.ɑ̃.t,72.94,73.63,71.2,71.2,0.5,44100,22050,8064.98054474708,7535.32414098933,7979.18287937743
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.189999999999998,76.02,76.21,1,ə,ɛ̃,s.ɛ̃,76.02,76.37,cinquante,s.ɛ̃.k.ɑ̃.t,76.02,76.9,75.89,75.89,0.5,44100,22050,8922.95719844358,8098.12448436859,7836.18677042802
