discourse,speaker,gender,phone,phone_duration,phone_begin,phone_end,phone_position,previous_phone,following_phone,syllable,syllable_begin,syllable_end,word,transcription,word_begin,word_end,utterance_begin,utterance_end
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.12,0.35,0.47,1,ə,a,s.a.m,0.35,0.65,samedi,s.a.m.d.i,0.35,1.07,0.05,0.05
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.21999999999999975,5.63,5.85,2,o,i,s.i,5.63,6.11,aussi,o.s.i,5.52,6.11,3.59,3.59
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.08999999999999986,14.49,14.58,1,i,a,s.a,14.49,14.66,s'adresse,s.a.d.ʁ.ɛ.s,14.49,14.97,14.34,14.34
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.09999999999999964,15.18,15.28,3,ɑ̃,ɑ̃,s.ɑ̃.b.l,15.18,15.45,l'ensemble,l.ɑ̃.s.ɑ̃.b.l,15.03,15.45,14.34,14.34
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.08000000000000185,17.34,17.42,1,ə,ə,s.ə,17.34,17.48,semaine,s.ə.m.ɛ.n,17.34,17.72,16.96,16.96
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.10999999999999943,18.2,18.31,1,a,y,s.y.ʁ,18.2,18.44,surprise,s.y.ʁ.p.ʁ.i.z,18.2,19.12,16.96,16.96
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.120000000000001,20.79,20.91,2,o,i,s.i,20.79,20.95,aussi,o.s.i,20.72,20.95,20.58,20.58
14401_f1_int2_2022_03_29_assnat_174837,14401,female,ʃ,0.129999999999999,25.66,25.79,1,n,a,ʃ.a.ʁ.ʒ,25.66,26.11,charge,ʃ.a.ʁ.ʒ,25.66,26.11,25.26,25.26
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.09999999999999787,30.12,30.22,1,ə,ɛ̃,s.ɛ̃.k,30.12,30.35,cinq,s.ɛ̃.k,30.12,30.35,29.23,29.23
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0799999999999983,30.35,30.43,1,k,ɑ̃,s.ɑ̃,30.35,30.5,cent,s.ɑ̃,30.35,30.5,29.23,29.23
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14000000000000057,36.97,37.11,3,a,y,s.y,36.97,37.16,rassurer,ʁ.a.s.y.ʁ.e,36.84,37.4,36.39,36.39
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.10999999999999943,40.75,40.86,1,ø,y,s.y.ʁ,40.75,41.0,surtout,s.y.ʁ.t.u,40.75,41.12,40.54,40.54
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14000000000000057,41.29,41.43,3,a,y,s.y,41.29,41.47,s'assurer,s.a.s.y.ʁ.e,41.12,41.77,40.54,40.54
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.0800000000000054,41.12,41.2,1,u,a,s.a,41.12,41.29,s'assurer,s.a.s.y.ʁ.e,41.12,41.77,40.54,40.54
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.1599999999999966,45.49,45.65,1,ɛ,y,s.y.ʁ,45.49,45.77,surprise,s.y.ʁ.p.ʁ.i.z,45.49,46.32,44.44,44.44
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.1599999999999966,50.78,50.94,3,ɛ̃,ɛ,s.ɛ.ʁ,50.78,51.08,sincèrement,s.ɛ̃.s.ɛ.ʁ.m.ɑ̃,50.56,51.35,50.3,50.3
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.11999999999999744,50.56,50.68,1,s,ɛ̃,s.ɛ̃,50.56,50.78,sincèrement,s.ɛ̃.s.ɛ.ʁ.m.ɑ̃,50.56,51.35,50.3,50.3
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.19999999999999574,53.56,53.76,1,<SIL>,ɑ̃,s.ɑ̃,53.56,53.85,cent,s.ɑ̃,53.56,53.85,52.01,52.01
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14000000000000057,54.88,55.02,1,<SIL>,ə,s.ə,54.88,55.09,se,s.ə,54.88,55.09,54.88,54.88
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.19999999999999574,61.96,62.16,1,ɔ̃,y,s.y.ʁ,61.96,62.23,sur,s.y.ʁ,61.96,62.23,60.57,60.57
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.13000000000000256,62.23,62.36,1,ʁ,ɛ,s.ɛ.t,62.23,62.44,cette,s.ɛ.t,62.23,62.44,60.57,60.57
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.07000000000000739,67.85,67.92,1,d,y,s.y.ʁ,67.85,67.99,surprise,s.y.ʁ.p.ʁ.i.z,67.85,68.41,67.43,67.43
14401_f1_int2_2022_03_29_assnat_174837,14401,female,ʃ,0.14999999999999147,69.59,69.74,1,a,o,ʃ.o.z,69.59,69.86,chose,ʃ.o.z,69.59,69.86,67.43,67.43
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14000000000000057,71.64,71.78,4,ʁ,ɔ,s.ɔ.n,71.64,71.99,personne,p.ɛ.ʁ.s.ɔ.n,71.48,71.99,71.2,71.2
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14999999999999147,73.29,73.44,4,a,ɑ̃,s.ɑ̃.t,73.29,73.63,soixante,s.w.a.s.ɑ̃.t,72.94,73.63,71.2,71.2
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.18999999999999773,76.02,76.21,1,ə,ɛ̃,s.ɛ̃,76.02,76.37,cinquante,s.ɛ̃.k.ɑ̃.t,76.02,76.9,75.89,75.89
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.19999999999998863,77.15,77.35,4,ʁ,ɑ̃,s.ɑ̃,77.15,77.58,pourcent,p.u.ʁ.s.ɑ̃,76.9,77.58,75.89,75.89
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.23999999999999488,80.06,80.3,2,i,i,s.i,80.06,80.55,ici,i.s.i,79.98,80.55,79.43,79.43
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.21000000000000796,83.6,83.81,1,<SIL>,ɛ̃,s.ɛ̃,83.6,83.92,cinquante,s.ɛ̃.k.ɑ̃.t,83.6,84.25,83.6,83.6
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.10999999999999943,84.4,84.51,4,ʁ,ɑ̃,s.ɑ̃,84.4,84.69,pourcent,p.u.ʁ.s.ɑ̃,84.25,84.69,83.6,83.6
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.12000000000000455,94.27,94.39,1,e,e,s.e,94.27,94.43,c'est,s.e,94.27,94.43,93.74,93.74
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.09999999999999432,94.43,94.53,1,e,ɑ̃,s.ɑ̃,94.43,94.6,sans,s.ɑ̃,94.43,94.6,93.74,93.74
14401_f1_int2_2022_03_29_assnat_174837,14401,female,s,0.14000000000000057,95.51,95.65,1,e,y,s.y,95.51,95.68,suffisante,s.y.f.i.z.ɑ̃.t,95.51,96.08,93.74,93.74
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.08000000000000007,3.39,3.47,1,<SIL>,e,s.e.t,3.39,3.56,c'est,s.e.t,3.39,3.56,3.39,3.39
14401_f2_int3_2022_03_29_assnat_174837,14401,female,ʃ,0.07999999999999963,3.72,3.8,2,e,ɑ̃,ʃ.ɑ̃.ʒ,3.72,3.94,échange,e.ʃ.ɑ̃.ʒ,3.67,3.94,3.39,3.39
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.16000000000000014,4.03,4.19,1,ə,ɛ,s.ɛ.ʁ,4.03,4.29,services,s.ɛ.ʁ.v.i.s,4.03,4.67,3.39,3.39
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.1200000000000001,5.97,6.09,1,ə,ɛ,s.ɛ.ʁ,5.97,6.17,services,s.ɛ.ʁ.v.i.s,5.97,6.6,5.88,5.88
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.20999999999999908,8.96,9.17,1,<SIL>,ɑ̃,s.ɑ̃,8.96,9.28,santé,s.ɑ̃.t.e,8.96,9.59,8.96,8.96
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.16999999999999993,10.4,10.57,1,ɔ̃,ɔ̃,s.ɔ̃,10.4,10.66,sont,s.ɔ̃,10.4,10.66,8.96,8.96
14401_f2_int3_2022_03_29_assnat_174837,14401,female,s,0.13999999999999702,17.76,17.9,1,a,ə,s.ə,17.76,17.93,cela,s.ə.l.ɑ,17.76,18.04,15.03,15.03
