speaker,utterance_label,utterance_begin,utterance_end,following_utterance_begin,following_utterance_end,discourse,discourse_begin,discourse_end
14401,a10d42ae-55eb-11f0-8c2f-16386fa09120,23.63,25.07,25.26,26.11,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4646-55eb-11f0-8c2f-16386fa09120,83.6,85.69,87.86,88.43,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d439e-55eb-11f0-8c2f-16386fa09120,36.39,37.4,37.95,40.07,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d424a-55eb-11f0-8c2f-16386fa09120,16.96,20.29,20.58,21.69,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4722-55eb-11f0-8c2f-16386fa09120,93.74,96.08,,,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d45ec-55eb-11f0-8c2f-16386fa09120,80.7,81.81,82.42,82.92,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d452e-55eb-11f0-8c2f-16386fa09120,67.43,70.43,71.2,74.41,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4434-55eb-11f0-8c2f-16386fa09120,44.44,49.04,50.3,51.35,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d46a0-55eb-11f0-8c2f-16386fa09120,91.25,92.63,93.06,93.3,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4682-55eb-11f0-8c2f-16386fa09120,89.15,90.9,91.25,92.63,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4628-55eb-11f0-8c2f-16386fa09120,82.42,82.92,83.6,85.69,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d45a6-55eb-11f0-8c2f-16386fa09120,75.89,78.48,79.43,80.55,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d46be-55eb-11f0-8c2f-16386fa09120,93.06,93.3,93.74,96.08,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d422c-55eb-11f0-8c2f-16386fa09120,14.34,16.0,16.96,20.29,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4416-55eb-11f0-8c2f-16386fa09120,42.7,43.93,44.44,49.04,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4308-55eb-11f0-8c2f-16386fa09120,26.28,26.65,26.8,28.68,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d447a-55eb-11f0-8c2f-16386fa09120,52.01,54.6,54.88,57.05,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d41f0-55eb-11f0-8c2f-16386fa09120,13.05,13.92,14.34,16.0,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d41c8-55eb-11f0-8c2f-16386fa09120,11.6,12.89,13.05,13.92,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d43bc-55eb-11f0-8c2f-16386fa09120,37.95,40.07,40.54,41.77,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4380-55eb-11f0-8c2f-16386fa09120,33.3,34.71,36.39,37.4,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d410a-55eb-11f0-8c2f-16386fa09120,1.78,3.43,3.59,6.11,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4268-55eb-11f0-8c2f-16386fa09120,20.58,21.69,22.23,22.46,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d445c-55eb-11f0-8c2f-16386fa09120,50.3,51.35,52.01,54.6,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4074-55eb-11f0-8c2f-16386fa09120,0.05,1.07,1.78,3.43,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d42cc-55eb-11f0-8c2f-16386fa09120,25.26,26.11,26.28,26.65,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d4498-55eb-11f0-8c2f-16386fa09120,54.88,57.05,58.14,59.98,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
14401,a10d413c-55eb-11f0-8c2f-16386fa09120,3.59,6.11,7.55,8.14,14401_f1_int2_2022_03_29_assnat_174837,0.05,96.08
