speaker,discourse,gender,yob,phone_id,phone,syllable,word,transcription,phone_begin,phone_end
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f624-55eb-11f0-b0b1-16386fa09120,ɑ̃,s.ɑ̃,cent,s.ɑ̃,53.76,53.85
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81776-55eb-11f0-b0b1-16386fa09120,ɑ̃,m.ɑ̃,premièrement,p.ʁ.ə.mʲ.ɛ.ʁ.m.ɑ̃,89.66,89.85
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ef94-55eb-11f0-b0b1-16386fa09120,ə,p.ʁ.ə,premier,p.ʁ.ə.mʲ.e,46.78,46.85
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7fc14-55eb-11f0-b0b1-16386fa09120,i,i,y,i,60.63,60.69
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7d8ba-55eb-11f0-b0b1-16386fa09120,ə,l.ə,le,l.ə,23.71,23.78
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e544-55eb-11f0-b0b1-16386fa09120,e,ʁ.e,rassurer,ʁ.a.s.y.ʁ.e,37.24,37.4
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81488-55eb-11f0-b0b1-16386fa09120,ɛ̃,s.ɛ̃,cinquante,s.ɛ̃.k.ɑ̃.t,83.81,83.92
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f9da-55eb-11f0-b0b1-16386fa09120,ɔ,l.ɔ.ʁ,alors,a.l.ɔ.ʁ,58.25,58.31
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7cd98-55eb-11f0-b0b1-16386fa09120,a,k.w.a,québécois,c.e.b.e.k.w.a,15.95,16.0
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f99e-55eb-11f0-b0b1-16386fa09120,a,a,alors,a.l.ɔ.ʁ,58.14,58.22
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81a3c-55eb-11f0-b0b1-16386fa09120,ɔ̃,ɔ̃,on,ɔ̃,91.65,91.74
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f444-55eb-11f0-b0b1-16386fa09120,ɑ̃,m.ɑ̃,sincèrement,s.ɛ̃.s.ɛ.ʁ.m.ɑ̃,51.18,51.35
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80e3e-55eb-11f0-b0b1-16386fa09120,ɔ,d.ɔ,dollars,d.ɔ.l.ɑ.ʁ,73.89,73.99
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f368-55eb-11f0-b0b1-16386fa09120,ɑ̃,p.ɑ̃.s,pense,p.ɑ̃.s,50.34,50.48
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81f6e-55eb-11f0-b0b1-16386fa09120,ɑ̃,z.ɑ̃.t,suffisante,s.y.f.i.z.ɑ̃.t,95.91,96.01
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c55a-55eb-11f0-b0b1-16386fa09120,u,t.u,toujours,t.u.ʒ.u.ʁ,9.08,9.15
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81140-55eb-11f0-b0b1-16386fa09120,o,p.o,impôt,ɛ̃.p.o,78.31,78.48
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81104-55eb-11f0-b0b1-16386fa09120,ɛ̃,ɛ̃,impôt,ɛ̃.p.o,77.95,78.14
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7bc86-55eb-11f0-b0b1-16386fa09120,a,m.w.a,moi,m.w.a,0.18,0.24
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80d6c-55eb-11f0-b0b1-16386fa09120,a,s.w.a,soixante,s.w.a.s.ɑ̃.t,73.2,73.29
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7d946-55eb-11f0-b0b1-16386fa09120,e,mʲ.e,premier,p.ʁ.ə.mʲ.e,23.96,24.06
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ec2e-55eb-11f0-b0b1-16386fa09120,e,n.e,vulnérables,v.y.l.n.e.ʁ.a.b.l,43.51,43.58
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea814c4-55eb-11f0-b0b1-16386fa09120,ɑ̃,k.ɑ̃.t,cinquante,s.ɛ̃.k.ɑ̃.t,84.02,84.15
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80aba-55eb-11f0-b0b1-16386fa09120,ɑ̃,v.ɑ̃.t,suivante,s.ɥ.i.v.ɑ̃.t,70.19,70.26
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c460-55eb-11f0-b0b1-16386fa09120,u,v.u,avoue,a.v.u,8.05,8.14
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e92c-55eb-11f0-b0b1-16386fa09120,ɔ̃,ɔ̃,on,ɔ̃,40.6,40.68
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7de00-55eb-11f0-b0b1-16386fa09120,ə,k.ə,que,k.ə,28.42,28.68
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81b7c-55eb-11f0-b0b1-16386fa09120,ɛ̃,l.ɛ̃,l'impôt,l.ɛ̃.p.o,93.09,93.19
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81366-55eb-11f0-b0b1-16386fa09120,y,y.n,une,y.n,81.09,81.16
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80fe2-55eb-11f0-b0b1-16386fa09120,ɛ̃,s.ɛ̃,cinquante,s.ɛ̃.k.ɑ̃.t,76.21,76.37
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7fad4-55eb-11f0-b0b1-16386fa09120,ə,k.ə,que,k.ə,58.88,58.95
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea809e8-55eb-11f0-b0b1-16386fa09120,a,l.a,la,l.a,69.52,69.59
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e4a4-55eb-11f0-b0b1-16386fa09120,u,v.u,vous,v.u,36.78,36.84
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7fffc-55eb-11f0-b0b1-16386fa09120,u,b.u.k,facebook,f.a.s.b.u.k,63.2,63.39
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e170-55eb-11f0-b0b1-16386fa09120,e,d.e,aider,e.d.e,32.74,33.08
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81d3e-55eb-11f0-b0b1-16386fa09120,ɑ̃,s.ɑ̃,sans,s.ɑ̃,94.53,94.6
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e9ea-55eb-11f0-b0b1-16386fa09120,u,t.u,surtout,s.y.ʁ.t.u,41.06,41.12
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7fe8a-55eb-11f0-b0b1-16386fa09120,ɔ̃,s.j.ɔ̃,modification,m.ɔ.d.i.f.i.k.a.s.j.ɔ̃,61.83,61.96
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ece2-55eb-11f0-b0b1-16386fa09120,ɛ,m.ɛ,mais,m.ɛ,44.58,44.81
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e684-55eb-11f0-b0b1-16386fa09120,e,d.e,aider,e.d.e,38.72,38.95
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f5b6-55eb-11f0-b0b1-16386fa09120,ø,d.ø,deux,d.ø,53.38,53.53
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80bbe-55eb-11f0-b0b1-16386fa09120,ɔ,s.ɔ.n,personne,p.ɛ.ʁ.s.ɔ.n,71.78,71.92
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c80c-55eb-11f0-b0b1-16386fa09120,i,m.i,ministre,m.i.ɲ.i.s.t.ʁ,12.09,12.14
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c2a8-55eb-11f0-b0b1-16386fa09120,o,o,aussi,o.s.i,5.52,5.63
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7db4e-55eb-11f0-b0b1-16386fa09120,a,ʃ.a.ʁ.ʒ,charge,ʃ.a.ʁ.ʒ,25.79,25.94
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81aa0-55eb-11f0-b0b1-16386fa09120,ɔ,d.ɔ.n,donne,d.ɔ.n,92.02,92.1
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c636-55eb-11f0-b0b1-16386fa09120,a,p.a.ʒ,page,p.a.ʒ,10.84,10.92
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea8010a-55eb-11f0-b0b1-16386fa09120,u,p.u.ʁ,pour,p.u.ʁ,63.79,63.85
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c5fa-55eb-11f0-b0b1-16386fa09120,a,l.a,la,l.a,10.69,10.75
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f6e2-55eb-11f0-b0b1-16386fa09120,ɑ,l.ɑ.ʁ,dollars,d.ɔ.l.ɑ.ʁ,54.33,54.42
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ee9a-55eb-11f0-b0b1-16386fa09120,i,p.ʁ.i.z,surprise,s.y.ʁ.p.ʁ.i.z,45.95,46.18
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7dfb8-55eb-11f0-b0b1-16386fa09120,ɔ,d.ɔ,dollars,d.ɔ.l.ɑ.ʁ,30.56,30.64
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80a7e-55eb-11f0-b0b1-16386fa09120,i,s.ɥ.i,suivante,s.ɥ.i.v.ɑ̃.t,70.07,70.12
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81686-55eb-11f0-b0b1-16386fa09120,ɑ̃,t.ɑ̃,instant,ɛ̃.s.t.ɑ̃,88.34,88.43
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e2ce-55eb-11f0-b0b1-16386fa09120,ɑ,k.l.ɑ.s,classe,k.l.ɑ.s,34.12,34.23
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e800-55eb-11f0-b0b1-16386fa09120,ɑ,k.l.ɑ.s,classe,k.l.ɑ.s,39.6,39.69
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ec60-55eb-11f0-b0b1-16386fa09120,a,ʁ.a.b.l,vulnérables,v.y.l.n.e.ʁ.a.b.l,43.68,43.84
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7e4d6-55eb-11f0-b0b1-16386fa09120,a,ʁ.a,rassurer,ʁ.a.s.y.ʁ.e,36.89,36.97
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7cbea-55eb-11f0-b0b1-16386fa09120,a,a,à,a,14.97,15.03
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea812b2-55eb-11f0-b0b1-16386fa09120,i,s.i,ici,i.s.i,80.3,80.55
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7fb92-55eb-11f0-b0b1-16386fa09120,ɑ,p.ɑ.ʁ,part,p.ɑ.ʁ,59.5,59.81
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea81276-55eb-11f0-b0b1-16386fa09120,i,i,ici,i.s.i,79.98,80.06
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7cb5e-55eb-11f0-b0b1-16386fa09120,a,s.a,s'adresse,s.a.d.ʁ.ɛ.s,14.58,14.66
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f4c6-55eb-11f0-b0b1-16386fa09120,e,m.e,ménage,m.e.n.a.ʒ,52.31,52.39
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7f868-55eb-11f0-b0b1-16386fa09120,ə,d.ə,de,d.ə,56.07,56.13
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7bd4e-55eb-11f0-b0b1-16386fa09120,i,d.i,samedi,s.a.m.d.i,0.75,1.07
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c83e-55eb-11f0-b0b1-16386fa09120,i,ɲ.i.s.t.ʁ,ministre,m.i.ɲ.i.s.t.ʁ,12.22,12.31
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea810f0-55eb-11f0-b0b1-16386fa09120,ɑ̃,ɑ̃,en,ɑ̃,77.62,77.95
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7d7d4-55eb-11f0-b0b1-16386fa09120,o,p.o,propos,p.ʁ.ɔ.p.o,21.57,21.69
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea80a1a-55eb-11f0-b0b1-16386fa09120,o,ʃ.o.z,chose,ʃ.o.z,69.74,69.83
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7c23a-55eb-11f0-b0b1-16386fa09120,ɜ,p.ʁ.ɜ.s,presse,p.ʁ.ɜ.s,4.89,5.2
14401,14401_f1_int2_2022_03_29_assnat_174837,female,1985,6ea7ce06-55eb-11f0-b0b1-16386fa09120,ɛ̃,f.ɛ̃,fin,f.ɛ̃,17.21,17.28
